State,Latitude,Longitude,Total Waitlist,Kidney,Liver,Heart
Alabama,32.806671,-86.79113,"1,639","1,405",161,22
Alaska,61.370716,-152.404419,142,127,10,2
Arizona,33.729759,-111.431221,"1,161",975,100,48
Arkansas,34.969704,-92.373123,486,384,50,31
California,36.116203,-119.681564,"21,086","18,520","1,861",244
Colorado,39.059811,-105.311104,"1,158",982,106,22
Connecticut,41.597782,-72.755371,"1,283","1,031",179,52
Delaware,39.318523,-75.507141,472,396,51,10
District of Columbia,38.897438,-77.026817,247,207,23,5
Florida,27.766279,-81.686783,"5,146","4,350",417,202
Georgia,33.040619,-83.643074,"3,334","2,879",242,130
Hawaii,21.094318,-157.498337,565,533,28,0
Idaho,44.240459,-114.478828,264,208,41,7
Illinois,40.349457,-88.986137,"4,476","3,765",274,179
Indiana,39.849426,-86.258278,"1,546","1,253",122,90
Iowa,42.011539,-93.210526,669,536,62,30
Kansas,38.5266,-96.726486,476,339,92,37
Kentucky,37.66814,-84.670067,"1,158",925,132,45
Louisiana,31.169546,-91.867805,"1,831","1,580",129,60
Maine,44.693947,-69.381927,485,369,81,18
Maryland,39.063946,-76.802101,"3,063","2,313",542,108
Massachusetts,42.230171,-71.530106,"3,817","3,070",549,99
Michigan,43.326618,-84.536095,"2,622","2,127",223,140
Minnesota,45.694454,-93.900192,"1,842","1,466",94,64
Mississippi,32.741646,-89.678696,"1,120",971,72,42
Missouri,38.456085,-92.288368,"1,496","1,246",149,44
Montana,46.921925,-110.454353,186,154,18,3
Nebraska,41.12537,-98.268082,341,255,55,17
Nevada,38.313515,-117.055374,696,585,74,13
New Hampshire,43.452492,-71.563896,488,386,77,13
New Jersey,40.298904,-74.521011,"3,655","3,152",246,101
New Mexico,34.840515,-106.248482,671,555,80,14
New York,42.165726,-74.948051,"8,244","7,089",503,276
North Carolina,35.630066,-79.806419,"3,778","3,430",119,85
North Dakota,47.528912,-99.784012,168,134,9,11
Ohio,40.388783,-82.764915,"2,557","1,957",298,170
Oklahoma,35.565342,-96.928917,810,593,169,24
Oregon,44.572021,-122.070938,545,419,65,30
Pennsylvania,40.590752,-77.209755,"5,320","4,550",413,101
Rhode Island,41.680893,-71.51178,441,354,58,20
South Carolina,33.856892,-80.945007,"2,221","1,975",89,80
South Dakota,44.299782,-99.438828,323,274,34,3
Tennessee,35.747845,-86.692345,"2,159","1,886",193,34
Texas,31.054487,-97.563461,"11,192","9,277","1,307",349
Utah,40.150032,-111.862434,615,474,90,34
Vermont,44.045876,-72.710686,161,123,28,9
Virginia,37.769337,-78.169968,"3,333","2,738",333,116
Washington,47.400902,-121.490494,"1,482","1,200",164,41
West Virginia,38.491226,-80.954453,410,297,76,16
Wisconsin,44.268543,-89.616508,"1,516","1,207",163,63
Wyoming,42.755966,-107.30249,97,80,9,1