organ,Characteristic,ATS_sd,period_start_date,period_end_date
KI,Overall,1.7950189002377,2010-01-01,2010-03-31
KI,Overall,1.71035833077176,2010-04-01,2010-06-30
KI,Overall,1.59705553593983,2010-07-01,2010-09-30
KI,Overall,1.77280461444784,2010-10-01,2010-12-31
KI,Overall,1.6487671555111,2011-01-01,2011-03-31
KI,Overall,1.60954968563392,2011-04-01,2011-06-30
KI,Overall,1.72464696772335,2011-07-01,2011-09-30
KI,Overall,1.66707281745157,2011-10-01,2011-12-31
KI,Overall,1.70978665103249,2012-01-01,2012-03-31
KI,Overall,1.66729502888524,2012-04-01,2012-06-30
KI,Overall,1.598737319624,2012-07-01,2012-09-30
KI,Overall,1.59700291798716,2012-10-01,2012-12-31
KI,Overall,1.64684838471873,2013-01-01,2013-03-31
KI,Overall,1.6212641591866,2013-04-01,2013-06-30
KI,Overall,1.65369942161699,2013-07-01,2013-09-30
KI,Overall,1.66695028852782,2013-10-01,2013-12-31
KI,Overall,1.5751861057926,2014-01-01,2014-03-31
KI,Overall,1.72486648316737,2014-04-01,2014-06-30
KI,Overall,1.69158570671056,2014-07-01,2014-09-30
KI,Overall,1.38011566496674,2014-10-01,2014-12-31
KI,Overall,1.29013384594151,2015-01-01,2015-03-31
KI,Overall,1.30446768876373,2015-04-01,2015-06-30
KI,Overall,1.30367368347308,2015-07-01,2015-09-30
KI,Overall,1.30141069048102,2015-10-01,2015-12-31
KI,Overall,1.33625681095669,2016-01-01,2016-03-31
KI,Overall,1.37599095365925,2016-04-01,2016-06-30
KI,Overall,1.36682356462651,2016-07-01,2016-09-30
KI,Overall,1.27414630459659,2016-10-01,2016-12-31
KI,Overall,1.28178203500432,2017-01-01,2017-03-31
KI,Overall,1.23558945928865,2017-04-01,2017-06-30
KI,Overall,1.34322805312699,2017-07-01,2017-09-30
KI,Overall,1.38272769991038,2017-10-01,2017-12-31
KI,Overall,1.37535344380593,2018-01-01,2018-03-31
KI,Overall,1.35236569782336,2018-04-01,2018-06-30
KI,Overall,1.34091627206961,2018-07-01,2018-09-30
KI,Overall,1.33519690522543,2018-10-01,2018-12-31
KI,Overall,1.28389655068565,2019-01-01,2019-03-31
KI,Overall,1.30346473410364,2019-04-01,2019-06-30
KI,Overall,1.29133921736172,2019-07-01,2019-09-30
KI,Overall,1.34026431804087,2019-10-01,2019-12-31
KI,Overall,1.37813761077905,2020-01-01,2020-03-31
KI,Overall,1.46178148011659,2020-04-01,2020-06-30
KI,Overall,1.43729459104248,2020-07-01,2020-09-30
KI,Overall,1.40390687000987,2020-10-01,2020-12-31
KI,Overall,1.36882479293421,2021-01-01,2021-03-31
KI,Overall,1.41484426764266,2021-04-01,2021-06-30
KI,Overall,1.32948268558265,2021-07-01,2021-09-30
KI,Overall,1.34911578485044,2021-10-01,2021-12-31
KI,Overall,1.32572533672901,2022-01-01,2022-03-31
KI,Overall,1.3457787494965,2022-04-01,2022-06-30
KI,Overall,1.36024160859285,2022-07-01,2022-09-30
KI,Overall,1.38360457653439,2022-10-01,2022-12-31